Video_ID,Video_Title,Category,Region,Sound_Used,Followers,Following,Views,Likes,Comments,Shares,Duration,Hashtags_Count,Hashtags,Upload_Hour,Upload_Day,Category_TrendScore,Engagement_Rate,Viral
1,Gaming video #0,Gaming,LATAM,Original,17428,117,42090,2165,211,151,97,3,#beauty #viral #tiktok,10,Friday,0.7,0.06,0
2,Comedy video #1,Comedy,US,Trending,1615,383,3747,283,17,18,68,3,#fyp #comedy #viral,16,Wednesday,0.88,0.085,1
3,Comedy video #2,Comedy,Europe,Trending,6967,216,44001,3138,115,191,141,2,#viral #tutorial,6,Monday,0.88,0.078,0
4,Sports video #3,Sports,US,Trending,17510,219,41757,2179,193,102,11,4,#fun #dance #trend #beauty,7,Monday,0.68,0.059,0
5,Gaming video #4,Gaming,LATAM,Original,48316,2113,45624,4219,208,159,91,5,#tutorial #dance #comedy #viral #fyp,7,Wednesday,0.7,0.101,1
6,Comedy video #5,Comedy,US,Trending,41618,59,39952,4556,407,213,132,1,#tutorial,2,Thursday,0.88,0.13,1
7,Dance video #6,Dance,Europe,Original,4563,280,18412,1643,137,81,110,1,#fyp,2,Friday,0.92,0.101,1
8,Sports video #7,Sports,Europe,Trending,24029,110,10487,825,68,27,105,5,#fyp #fun #viral #comedy #trend,19,Tuesday,0.68,0.088,1
9,Dance video #8,Dance,US,Trending,36368,472,43941,3855,333,284,37,4,#tiktok #fyp #beauty #tutorial,5,Sunday,0.92,0.102,1
10,Beauty video #9,Beauty,US,Trending,29617,192,33562,2311,108,69,164,6,#comedy #trend #fyp #tutorial #music #tiktok,6,Thursday,0.75,0.074,0
11,Comedy video #10,Comedy,Europe,Trending,9452,65,28728,1972,193,88,140,2,#tutorial #fyp,6,Monday,0.88,0.078,0
12,Dance video #11,Dance,US,Original,1810,652,13688,1382,77,80,77,7,#tutorial #trend #music #comedy #tiktok #fun #dance,5,Friday,0.92,0.112,1
13,Tutorial video #12,Tutorial,Europe,Trending,8180,84,42106,3132,115,239,173,4,#music #fun #fyp #beauty,2,Saturday,0.65,0.083,1
14,Gaming video #13,Gaming,Europe,Original,9532,292,42976,3703,178,295,16,3,#comedy #viral #tutorial,9,Friday,0.7,0.097,1
15,Fashion video #14,Fashion,Europe,Original,57803,51,100371,10997,1050,738,157,3,#trend #music #fyp,15,Tuesday,0.77,0.127,1
16,Tutorial video #15,Tutorial,Europe,Trending,19091,21,26876,1680,93,108,178,5,#dance #viral #fyp #beauty #comedy,2,Sunday,0.65,0.07,0
17,Food video #16,Food,US,Trending,5892,305,31746,3353,218,183,118,6,#fyp #beauty #trend #tutorial #viral #comedy,5,Friday,0.72,0.118,1
18,Sports video #17,Sports,US,Original,22970,129,48202,4933,477,196,167,4,#fun #trend #beauty #dance,16,Wednesday,0.68,0.116,1
19,Music video #18,Music,Europe,Remix,8522,81,24093,2378,166,61,137,3,#comedy #fyp #dance,0,Monday,0.8,0.108,1
20,Music video #19,Music,LATAM,Trending,31501,260,37770,4028,349,290,52,1,#music,0,Friday,0.8,0.124,1
21,Fashion video #20,Fashion,Europe,Trending,83356,398,50477,4073,313,161,124,6,#beauty #tutorial #fyp #fun #comedy #music,15,Saturday,0.77,0.09,1
22,Comedy video #21,Comedy,LATAM,Original,31395,22,23399,1309,44,67,17,1,#comedy,4,Saturday,0.88,0.061,0
23,Music video #22,Music,Asia,Original,2906,178,26316,1655,59,75,28,7,#tutorial #tiktok #comedy #dance #music #viral #trend,16,Sunday,0.8,0.068,0
24,Tutorial video #23,Tutorial,US,Remix,16004,120,30375,2697,196,121,126,5,#viral #trend #tiktok #fyp #comedy,7,Thursday,0.65,0.099,1
25,Beauty video #24,Beauty,Europe,Original,17371,964,38220,2977,217,172,48,5,#tiktok #viral #fyp #beauty #music,15,Monday,0.75,0.088,1
26,Dance video #25,Dance,Europe,Original,33023,368,20727,1871,106,109,11,7,#beauty #tiktok #viral #tutorial #music #trend #comedy,3,Friday,0.92,0.101,1
27,Sports video #26,Sports,Europe,Remix,29172,79,25620,2741,136,74,17,2,#dance #tiktok,16,Thursday,0.68,0.115,1
28,Tutorial video #27,Tutorial,Asia,Original,11734,356,21463,1264,60,69,161,5,#tiktok #viral #music #fyp #beauty,9,Saturday,0.65,0.065,0
29,Lifestyle video #28,Lifestyle,Europe,Trending,9296,327,5349,304,10,23,71,1,#viral,16,Friday,0.6,0.063,0
30,Lifestyle video #29,Lifestyle,Europe,Remix,5754,5,12130,787,75,52,78,5,#tiktok #trend #tutorial #comedy #viral,15,Friday,0.6,0.075,0
31,Dance video #30,Dance,LATAM,Remix,135085,222,211802,23021,1377,767,18,4,#beauty #fyp #viral #tiktok,14,Sunday,0.92,0.119,1
32,Gaming video #31,Gaming,LATAM,Trending,34389,34,60370,5519,300,344,95,1,#fyp,12,Friday,0.7,0.102,1
33,Sports video #32,Sports,Europe,Original,10675,22,14116,1518,124,92,135,5,#trend #beauty #fyp #viral #comedy,12,Wednesday,0.68,0.123,1
34,Comedy video #33,Comedy,Europe,Trending,1695,465,21559,1874,186,45,169,5,#comedy #viral #tiktok #fun #trend,11,Monday,0.88,0.098,1
35,Music video #34,Music,LATAM,Trending,14300,953,15709,1094,105,80,127,6,#comedy #trend #music #tiktok #fun #viral,20,Friday,0.8,0.081,1
36,Sports video #35,Sports,Asia,Trending,2633,87,48605,2540,125,113,110,4,#fyp #music #tiktok #fun,17,Tuesday,0.68,0.057,0
37,Music video #36,Music,US,Trending,19481,283,26984,2391,99,106,162,7,#beauty #fyp #tutorial #tiktok #viral #music #fun,4,Monday,0.8,0.096,1
38,Food video #37,Food,Europe,Remix,11899,624,8342,425,14,26,170,5,#dance #tiktok #trend #beauty #viral,16,Thursday,0.72,0.056,0
39,Music video #38,Music,Asia,Remix,55500,334,46106,3191,142,231,94,1,#trend,18,Friday,0.8,0.077,0
40,Food video #39,Food,US,Trending,679,113,42348,2379,203,131,59,3,#viral #comedy #dance,2,Monday,0.72,0.064,0
41,Sports video #40,Sports,Europe,Original,26987,155,17089,1271,83,85,91,2,#comedy #fyp,17,Friday,0.68,0.084,1
42,Gaming video #41,Gaming,Asia,Original,4010,140,40037,3777,176,92,43,5,#viral #fyp #music #fun #dance,23,Sunday,0.7,0.101,1
43,Comedy video #42,Comedy,US,Trending,7322,241,11161,1028,46,71,105,1,#comedy,23,Tuesday,0.88,0.103,1
44,Gaming video #43,Gaming,US,Trending,2576,247,24321,2577,190,64,87,2,#viral #dance,13,Friday,0.7,0.116,1
45,Lifestyle video #44,Lifestyle,LATAM,Trending,40707,316,29699,2251,140,145,56,7,#tiktok #fun #viral #tutorial #comedy #fyp #beauty,19,Wednesday,0.6,0.085,1
46,Dance video #45,Dance,US,Original,478724,454,323902,32914,1407,1772,47,2,#beauty #viral,12,Saturday,0.92,0.111,1
47,Lifestyle video #46,Lifestyle,US,Trending,15525,17,27069,2465,202,113,118,3,#beauty #dance #trend,9,Wednesday,0.6,0.103,1
48,Comedy video #47,Comedy,US,Trending,3249,380,2605,175,7,5,130,6,#tiktok #comedy #trend #tutorial #fyp #music,12,Friday,0.88,0.072,0
49,Beauty video #48,Beauty,US,Original,1803,294,23350,2503,120,75,15,7,#tutorial #viral #comedy #tiktok #fun #fyp #beauty,3,Monday,0.75,0.116,1
50,Tutorial video #49,Tutorial,LATAM,Trending,55994,69,46587,3119,118,176,127,2,#dance #fyp,5,Friday,0.65,0.073,0
51,Beauty video #50,Beauty,Europe,Trending,11477,155,9616,1025,49,62,14,2,#fyp #viral,17,Thursday,0.75,0.118,1
52,Food video #51,Food,Europe,Trending,39225,121,80314,6147,583,389,87,2,#dance #viral,11,Thursday,0.72,0.089,1
53,Dance video #52,Dance,Asia,Original,36905,238,47046,3393,241,206,92,5,#dance #fun #beauty #tutorial #comedy,4,Saturday,0.92,0.082,1
54,Sports video #53,Sports,Asia,Original,2150,672,19381,1059,48,55,154,1,#beauty,0,Friday,0.68,0.06,0
55,Gaming video #54,Gaming,US,Original,121276,143,159679,16299,527,883,47,5,#tiktok #beauty #trend #comedy #fun,3,Friday,0.7,0.111,1
56,Food video #55,Food,LATAM,Trending,16816,55,21609,1098,78,59,166,5,#beauty #tutorial #fyp #dance #music,7,Saturday,0.72,0.057,0
57,Tutorial video #56,Tutorial,Europe,Original,6783,75,11380,679,25,24,99,7,#viral #dance #fyp #beauty #tiktok #trend #music,22,Sunday,0.65,0.064,0
58,Food video #57,Food,Europe,Trending,73494,290,123554,14054,542,480,60,6,#tiktok #tutorial #dance #comedy #trend #fyp,8,Sunday,0.72,0.122,1
59,Comedy video #58,Comedy,US,Original,7672,71,37980,3504,133,157,62,5,#fun #beauty #comedy #fyp #dance,14,Wednesday,0.88,0.1,1
60,Lifestyle video #59,Lifestyle,LATAM,Trending,25883,322,20956,2389,132,131,161,3,#music #trend #tiktok,11,Thursday,0.6,0.127,1
61,Music video #60,Music,US,Original,9905,125,27838,2223,191,91,80,1,#tiktok,7,Tuesday,0.8,0.09,1
62,Sports video #61,Sports,Asia,Trending,4227,299,13342,1550,87,56,122,7,#tutorial #trend #tiktok #fun #viral #fyp #music,18,Saturday,0.68,0.127,1
63,Tutorial video #62,Tutorial,Europe,Trending,56144,529,38477,2204,189,67,76,1,#beauty,0,Tuesday,0.65,0.064,0
64,Tutorial video #63,Tutorial,US,Trending,44844,231,18515,2087,64,52,174,4,#trend #tutorial #comedy #viral,10,Wednesday,0.65,0.119,1
65,Comedy video #64,Comedy,US,Trending,55493,123,69501,6346,309,364,157,5,#trend #viral #fun #beauty #fyp,14,Friday,0.88,0.101,1
66,Gaming video #65,Gaming,Europe,Trending,58210,143,64392,6074,291,172,124,2,#beauty #dance,16,Wednesday,0.7,0.102,1
67,Lifestyle video #66,Lifestyle,LATAM,Trending,4317,257,49756,2526,99,186,162,5,#viral #music #fyp #comedy #tiktok,16,Tuesday,0.6,0.056,0
68,Lifestyle video #67,Lifestyle,Europe,Original,3495,41,12555,1305,45,91,63,2,#music #beauty,13,Friday,0.6,0.115,1
69,Sports video #68,Sports,LATAM,Original,19385,258,41483,3641,150,256,159,6,#fyp #music #viral #comedy #trend #tiktok,23,Friday,0.68,0.098,1
70,Lifestyle video #69,Lifestyle,LATAM,Trending,2645,104,46080,3098,270,210,138,1,#trend,7,Friday,0.6,0.078,0
71,Tutorial video #70,Tutorial,US,Trending,5887,118,6931,655,64,48,17,3,#viral #dance #music,15,Thursday,0.65,0.111,1
72,Tutorial video #71,Tutorial,Asia,Trending,24427,86,45813,2677,217,84,35,7,#fyp #comedy #tutorial #trend #viral #music #fun,16,Friday,0.65,0.065,0
73,Dance video #72,Dance,Europe,Original,20601,76,36435,2129,75,131,26,7,#dance #tutorial #tiktok #fyp #trend #fun #music,9,Saturday,0.92,0.064,0
74,Beauty video #73,Beauty,Asia,Trending,93617,180,131077,10384,647,824,170,2,#comedy #music,12,Wednesday,0.75,0.09,1
